07/01/2025 01:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.01000000
07/01/2025 01:32 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,344.06000000
07/01/2025 15:31 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 958.77000000
07/01/2025 16:12 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,144.41000000
07/01/2025 16:50 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 7,589.08000000
07/01/2025 20:26 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,031.52000000
07/01/2025 20:50 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 47,424.60000000
07/01/2025 20:56 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,427.58000000
07/01/2025 21:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,402.18000000
07/01/2025 22:54 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 8,767.10000000
07/01/2025 23:08 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 57,542.35000000
08/01/2025 05:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,511.07000000
08/01/2025 07:31 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.12000000
08/01/2025 10:52 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 15,085.60000000
08/01/2025 11:07 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,778.72000000
08/01/2025 11:09 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 15,694.50000000
08/01/2025 11:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 13,518.75000000
08/01/2025 17:35 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 4,430.15000000
08/01/2025 18:55 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 3,865.01000000
08/01/2025 19:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 10,214.71000000
08/01/2025 19:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 78,008.21000000
09/01/2025 07:39 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 30,972.11000000
09/01/2025 09:10 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 11,398.00000000
09/01/2025 14:43 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 10,254.82000000
09/01/2025 15:17 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 3,540.75000000
09/01/2025 16:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,552.44000000
09/01/2025 23:14 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 2,786.86000000
10/01/2025 04:48 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 744.12000000
10/01/2025 08:35 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 1,782.34000000
10/01/2025 11:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 5,311.84000000
10/01/2025 13:37 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,142.63000000
11/01/2025 04:51 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 31,272.85000000
11/01/2025 04:51 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 38,571.42000000
11/01/2025 04:51 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 38,571.42000000
11/01/2025 04:51 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 39,130.43000000
13/01/2025 18:07 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 28,074.62000000
13/01/2025 18:07 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 139,655.22000000
13/01/2025 20:54 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 40,122.31000000
15/01/2025 01:02 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 61,253.73000000
18/01/2025 07:09 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | TRUMP | buy_filled | 16.00 | 450.90000000
18/01/2025 17:49 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | TRUMP | sell_filled | 27.71 | 450.90000000
19/01/2025 22:37 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 43,847.98000000
20/01/2025 01:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 0.01000000
20/01/2025 02:23 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 1,591.51000000
20/01/2025 02:50 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 10,163.17000000
20/01/2025 04:25 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 49,982.50000000
20/01/2025 10:17 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 731.45000000
20/01/2025 10:59 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 3,761.62000000
20/01/2025 12:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @34 | buy_filled | 0.01 | 6,823.21000000
20/01/2025 22:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | TRUMP | buy_filled | 40.12 | 746.70000000
20/01/2025 22:18 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | TRUMP | buy_filled | 39.47 | 253.40000000
20/01/2025 22:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | TRUMP | buy_filled | 39.43 | 254.00000000
20/01/2025 22:41 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | TRUMP | sell_filled | 36.04 | 1,254.10000000
21/01/2025 21:03 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | buy_filled | 107,013.00 | 0.00093000
21/01/2025 22:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | buy_filled | 23.36 | 2.14000000
21/01/2025 22:20 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | sell_filled | 23.32 | 1.13000000
21/01/2025 22:20 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | sell_filled | 23.32 | 1.00000000
21/01/2025 22:37 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | buy_filled | 23.54 | 1.91000000
21/01/2025 22:37 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | buy_filled | 23.54 | 1.91000000
21/01/2025 22:37 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | buy_filled | 23.53 | 1.91000000
21/01/2025 22:37 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | buy_filled | 23.51 | 1.91000000
21/01/2025 22:40 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | sell_filled | 106,547.00 | 0.00093000
21/01/2025 22:40 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | sell_filled | 23.67 | 7.64000000
21/01/2025 22:56 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | new_buy_order | 23.40 | 1.05000000
21/01/2025 22:56 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | new_buy_order | 23.40 | 1.05000000
21/01/2025 22:56 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | new_buy_order | 22.40 | 2.23000000
21/01/2025 22:59 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | new_buy_order | 22.40 | 2.23000000
21/01/2025 22:59 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | new_buy_order | 22.40 | 2.23000000
21/01/2025 22:59 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | new_buy_order | 23.00 | 1.52000000
21/01/2025 23:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:00 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:03 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_buy_orders | Total Size: 3.04000000 | Avg Price: 23.00 | Volume: $69.92 | Count: 2
21/01/2025 23:03 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_buy_orders | Total Size: 0.86000000 | Avg Price: 23.00 | Volume: $19.78 | Count: 1
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_buy_fills | Total Size: 2.46000000 | Avg Price: 24.10 | Volume: $59.29 | Count: 3
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_sell_orders | Total Size: 0.61000000 | Avg Price: 25.00 | Volume: $15.25 | Count: 1
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_sell_orders | Total Size: 1.22000000 | Avg Price: 25.00 | Volume: $30.50 | Count: 2
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:04 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:05 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_sell_fills | Total Size: 1.77000000 | Avg Price: 24.07 | Volume: $42.61 | Count: 3
21/01/2025 23:10 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_buy_orders | Total Size: 1.36000000 | Avg Price: 22.00 | Volume: $29.92 | Count: 2
21/01/2025 23:10 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | @107 | aggregated_buy_fills | Total Size: 3.97000000 | Avg Price: 24.00 | Volume: $95.28 | Count: 1
21/01/2025 23:11 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | None | aggregated_sell_orders_canceled | Total Size: 0.00000000 | Avg Price: 0.00 | Volume: $0.00 | Count: 1
21/01/2025 23:14 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00046000 | Avg Price: 105,000.00 | Volume: $48.30 | Count: 2
21/01/2025 23:14 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | None | aggregated_sell_orders_canceled | Total Size: 0.00000000 | Avg Price: 0.00 | Volume: $0.00 | Count: 1
21/01/2025 23:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | None | aggregated_sell_orders_canceled | Total Size: 0.00000000 | Avg Price: 0.00 | Volume: $0.00 | Count: 1
21/01/2025 23:15 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | None | aggregated_sell_orders_canceled | Total Size: 0.00000000 | Avg Price: 0.00 | Volume: $0.00 | Count: 1
21/01/2025 23:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00046000 | Avg Price: 105,000.00 | Volume: $48.30 | Count: 2
21/01/2025 23:16 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | None | aggregated_sell_orders_canceled | Total Size: 0.00000000 | Avg Price: 0.00 | Volume: $0.00 | Count: 1
21/01/2025 23:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00069000 | Avg Price: 105,000.00 | Volume: $72.45 | Count: 3
21/01/2025 23:19 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00023000 | Avg Price: 105,000.00 | Volume: $24.15 | Count: 1
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00046000 | Avg Price: 105,000.00 | Volume: $48.30 | Count: 2
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00023000 | Avg Price: 105,000.00 | Volume: $24.15 | Count: 1
21/01/2025 23:21 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:21 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00023000 | Avg Price: 105,000.00 | Volume: $24.15 | Count: 1
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00023000 | Avg Price: 105,000.00 | Volume: $24.15 | Count: 1
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:23 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | BTC | aggregated_buy_orders | Total Size: 0.00023000 | Avg Price: 105,000.00 | Volume: $24.15 | Count: 1
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
21/01/2025 23:22 | 0xDd4c3d252c29da6F584a9b83D2b61AD82ac92FaB | UNKNOWN | sell_order_canceled | 0.00 | 0.00000000
